feature,target,n,spearman_rho,abs_spearman_rho,p_value,feature_median,target_median,q_value_bh
combo_deep_lf,MinPRSleep,211,-0.3645472309164272,0.3645472309164272,4.961024383260853e-08,292.336405,48.0,2.5424160108240155e-07
combo_rem_rmssd_median_ms,MinPRSleep,211,-0.3643430861744058,0.3643430861744058,5.053436921127478e-08,27.280301,48.0,2.587501679018038e-07
nrem_second_half_lf_hf_ratio,ODI,209,-0.36321587742576444,0.36321587742576444,6.473777103688488e-08,2.239195,4.19,3.2945085574791676e-07
nrem_second_half_lf_hf_ratio,ODI_4_Percent,209,-0.36321587742576444,0.36321587742576444,6.473777103688488e-08,2.239195,4.19,3.2945085574791676e-07
nrem_second_half_lf_hf_fixed_mean,ODI,209,-0.36321587742576444,0.36321587742576444,6.473777103688488e-08,2.239195,4.19,3.2945085574791676e-07
nrem_second_half_lf_hf_fixed_mean,ODI_4_Percent,209,-0.36321587742576444,0.36321587742576444,6.473777103688488e-08,2.239195,4.19,3.2945085574791676e-07
nrem_second_half_lf_hf_ratio,REM_ODI,207,-0.3621986245154602,0.3621986245154602,8.195098376852175e-08,2.244478,6.05,4.1308278290979017e-07
nrem_second_half_lf_hf_fixed_mean,REM_ODI,207,-0.3621986245154602,0.3621986245154602,8.195098376852175e-08,2.244478,6.05,4.1308278290979017e-07
combo_all_sleep_lf_hf_fixed_median,SatBelow90,211,-0.36183891318996686,0.36183891318996686,6.33077049083265e-08,1.636432,0.62,3.233016944180036e-07
nrem_first_half_sdnn_median_ms,MinPRSleep,211,-0.3611507020497179,0.3611507020497179,6.732977851098711e-08,36.531126,48.0,3.4234286684923873e-07
nrem_second_half_lf_hf_fixed_median,SatBelow90,209,-0.3593421874420665,0.3593421874420665,9.124651103302208e-08,1.564162,0.62,4.5874970029705586e-07
nrem_second_half_lf_hf_ratio,MinSatValue,209,0.35802110996144243,0.35802110996144243,1.02470840230253e-07,2.239195,87.0,5.142942686943507e-07
nrem_second_half_lf_hf_fixed_mean,MinSatValue,209,0.35802110996144243,0.35802110996144243,1.02470840230253e-07,2.239195,87.0,5.142942686943507e-07
nrem_second_half_lf_hf_fixed_median,ODI,209,-0.3550213702691587,0.3550213702691587,1.3309465246062472e-07,1.564162,4.19,6.645616550944893e-07
nrem_second_half_lf_hf_fixed_median,ODI_4_Percent,209,-0.3550213702691587,0.3550213702691587,1.3309465246062472e-07,1.564162,4.19,6.645616550944893e-07
combo_wake_sleep_lf_hf_fixed_median,SatBelow90,213,-0.3547208625732458,0.3547208625732458,1.0345618578070372e-07,1.661756,0.62,5.187931861333311e-07
combo_wake_sleep_sdnn_mean_ms,MeanPRSleep,212,-0.3540817860185526,0.3540817860185526,1.1729629909866305e-07,45.749907,62.0,5.876907356902088e-07
nrem_first_half_hf_fixed_median_ms2,MinPRSleep,211,-0.35400660998877204,0.35400660998877204,1.2653089429260335e-07,139.517098,48.0,6.328715055870177e-07
nrem_second_half_lf_hf_ratio,DesatBurdenOverall,209,-0.353171113063066,0.353171113063066,1.561790512392883e-07,2.239195,55.0,7.778276915691967e-07
nrem_second_half_lf_hf_fixed_mean,DesatBurdenOverall,209,-0.353171113063066,0.353171113063066,1.561790512392883e-07,2.239195,55.0,7.778276915691967e-07
nrem_first_half_lf_ms2,MinPRSleep,211,-0.35159348876457003,0.35159348876457003,1.5603854264833685e-07,420.055068,48.0,7.778276915691967e-07
nrem_second_half_lf_hf_fixed_median,MinSatValue,209,0.35119756643571837,0.35119756643571837,1.85023244914352e-07,1.564162,87.0,9.206958740106662e-07
nrem_second_half_lf_fixed_median_ms2,MinPRSleep,209,-0.3511032320387926,0.3511032320387926,1.8652280801168212e-07,265.121022,48.0,9.273665953317394e-07
nrem_second_half_lf_hf_fixed_median,REM_ODI,207,-0.3510018964192899,0.3510018964192899,2.1556429551789076e-07,1.564162,6.05,1.0672079553992692e-06
combo_all_sleep_lf_hf_fixed_median,MinSatValue,211,0.3490344641116596,0.3490344641116596,1.945113964374595e-07,1.636432,87.0,9.662610426092537e-07
combo_all_sleep_lf_hf,SatBelow90,211,-0.3488023871916754,0.3488023871916754,1.9841904035637896e-07,2.39067,0.62,9.839964654408182e-07
combo_all_sleep_lf_hf_fixed_mean,SatBelow90,211,-0.3488023871916754,0.3488023871916754,1.9841904035637896e-07,2.39067,0.62,9.839964654408182e-07
combo_deep_rmssd_mean_ms,MinPRSleep,211,-0.3421162013281305,0.3421162013281305,3.4953029736694155e-07,31.238855,48.0,1.7216728836520296e-06
combo_all_sleep_lf_hf_fixed_median,REM_ODI,209,-0.34202898944790167,0.34202898944790167,4.005357308375264e-07,1.637209,6.08,1.9679228157072066e-06
combo_rem_lf_hf,MinSatValue,210,0.3416416649754893,0.3416416649754893,3.8783420787506345e-07,2.5560355,87.0,1.9071240306301602e-06
combo_rem_lf_hf_fixed_mean,MinSatValue,210,0.3416416649754893,0.3416416649754893,3.8783420787506345e-07,2.5560355,87.0,1.9071240306301602e-06
nrem_second_half_lf_hf_fixed_median,DesatBurdenOverall,209,-0.3406444804557713,0.3406444804557713,4.4912419670537565e-07,1.564162,55.0,2.2047915110991167e-06
combo_all_sleep_lf_hf,REM_ODI,209,-0.3397155418827452,0.3397155418827452,4.848360344267317e-07,2.424494,6.08,2.376103993929999e-06
combo_all_sleep_lf_hf_fixed_mean,REM_ODI,209,-0.3397155418827452,0.3397155418827452,4.848360344267317e-07,2.424494,6.08,2.376103993929999e-06
nrem_second_half_lf_hf_ratio,AreaUnder90Overall,209,-0.3396510905941703,0.3396510905941703,4.874121227966751e-07,2.239195,1.0,2.384721057172994e-06
